R_fighter,B_fighter,B_current_lose_streak,B_current_win_streak,B_draw,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,Winner
Henry Cejudo,Marlon Moraes,0,4,0,9,419.4,0,0,1,0,2,1,0,4,Orthodox,167.64,170.18,135,0,4,0,27,742.6,3,0,2,4,2,0,0,8,Orthodox,162.56,162.56,135,31,32,0
Valentina Shevchenko,Jessica Eye,0,3,0,29,849,0,0,2,1,0,0,1,4,Orthodox,167.64,167.64,125,0,2,0,25,1062,2,0,1,2,0,2,0,5,Southpaw,165.1,167.64,125,32,31,0
Tony Ferguson,Donald Cerrone,0,3,0,68,581.8709677,1,0,0,7,10,6,0,23,Orthodox,185.42,185.42,155,0,11,0,33,604.4,2,0,1,3,3,6,1,14,Orthodox,180.34,193.04,155,36,35,0
Jimmie Rivera,Petr Yan,0,4,0,9,652,0,0,0,2,2,0,0,4,Switch,170.18,170.18,135,1,0,0,20,690.25,0,0,1,4,1,0,0,6,Orthodox,162.56,172.72,135,26,29,1
Tai Tuivasa,Blagoy Ivanov,0,1,0,8,1200,0,0,0,1,0,0,0,1,Southpaw,180.34,185.42,250,1,0,0,7,440.75,0,0,0,1,2,0,0,3,Southpaw,187.96,190.5,264,32,26,1
Tatiana Suarez,Nina Ansaroff,0,4,0,18,886.5,0,0,0,3,0,1,0,4,Orthodox,165.1,162.56,115,0,4,0,8,540,1,0,0,1,1,2,0,4,,165.1,167.64,115,33,28,0
Aljamain Sterling,Pedro Munhoz,0,3,0,23,495.25,0,0,0,2,3,3,0,8,Orthodox,167.64,165.1,135,0,3,0,32,750.6666667,0,0,0,5,1,3,0,9,Orthodox,170.18,180.34,135,32,29,0
Karolina Kowalkiewicz,Alexa Grasso,1,0,0,10,716,0,0,1,1,0,0,0,2,Orthodox,165.1,167.64,115,2,0,0,25,800.1111111,1,0,2,3,0,0,0,5,Orthodox,160.02,162.56,115,25,33,1
Ricardo Lamas,Calvin Kattar,0,1,0,10,670.75,0,0,0,1,2,0,0,3,Orthodox,180.34,182.88,145,0,1,0,34,624.0666667,1,0,0,3,4,3,0,10,Orthodox,172.72,180.34,145,31,37,1
Yan Xiaonan,Angela Hill,0,1,0,26,763.1,0,0,0,4,0,0,0,4,Orthodox,160.02,162.56,115,0,3,0,9,900,0,0,0,3,0,0,0,3,Orthodox,165.1,160.02,115,34,29,0
Bevon Lewis,Darren Stewart,1,0,0,14,488.7142857,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,185,1,0,0,3,692,0,0,0,0,0,0,0,0,Orthodox,190.5,200.66,185,28,28,1
Eddie Wineland,Grigorii Popov,0,0,0,0,,0,0,0,0,0,0,0,0,Switch,170.18,172.72,135,2,0,0,29,668,1,0,1,0,4,0,0,5,Orthodox,170.18,175.26,135,35,34,0
Katlyn Chookagian,Joanne Calderwood,0,2,0,18,628.625,0,0,0,3,1,1,0,5,Orthodox,167.64,165.1,125,1,0,0,18,900,0,0,1,3,0,0,0,4,Orthodox,175.26,172.72,125,33,30,0
Alexander Gustafsson,Anthony Smith,1,0,0,27,625,1,0,0,1,5,1,0,7,Orthodox,193.04,193.04,205,1,0,0,38,660.8666667,3,0,0,3,5,2,0,10,Orthodox,195.58,200.66,205,30,32,1
Jimi Manuwa,Aleksandar Rakic,0,3,0,7,681.6666667,0,0,0,2,1,0,0,3,Orthodox,193.04,198.12,205,3,0,0,21,455.7272727,0,0,0,1,3,0,2,6,Orthodox,185.42,200.66,205,27,39,1
Makwan Amirkhani,Chris Fishgold,0,1,0,3,310.5,0,0,0,0,0,1,0,1,Orthodox,172.72,172.72,145,0,1,0,11,561.8,0,0,1,1,1,1,0,4,Southpaw,177.8,182.88,145,26,30,0
Damir Hadzovic,Christos Giagos,0,1,0,10,558.2,0,0,0,1,0,1,0,2,Orthodox,177.8,180.34,155,0,2,0,12,610.8,0,0,1,0,2,0,0,3,Orthodox,175.26,177.8,155,29,32,1
Daniel Teymur,Sung Bin Jo,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,145,3,0,0,8,681.6666667,0,0,0,0,0,0,0,0,Orthodox,165.1,175.26,145,26,31,0
Rostem Akman,Sergey Khandozhko,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,170,0,0,0,0,,0,0,0,0,0,0,0,0,Switch,177.8,182.88,170,27,27,1
Tonya Evinger,Lina Lansberg,1,0,0,13,720.4,0,0,0,2,0,0,0,2,Orthodox,170.18,165.1,135,2,0,0,4,461,1,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,37,37,1
Stevie Ray,Leonardo Santos,0,4,0,14,656.3333333,1,0,1,1,1,2,0,5,Orthodox,182.88,190.5,155,0,1,0,22,686.8888889,0,1,1,2,2,0,0,6,Southpaw,177.8,177.8,155,39,29,1
Nick Hein,Frank Camacho,2,0,0,8,727.6666667,0,0,1,0,0,0,0,1,Orthodox,177.8,185.42,170,2,0,0,19,807.8571429,0,0,0,4,0,0,0,4,Southpaw,167.64,167.64,155,30,35,1
Bea Malecki,Duda Santana,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,170.18,185.42,145,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,175.26,187.96,135,23,27,0
Darko Stosic,Devin Clark,1,0,0,13,620.6666667,0,0,0,3,0,0,0,3,Orthodox,182.88,190.5,205,0,1,0,1,193,0,0,0,0,1,0,0,1,Orthodox,182.88,193.04,205,29,27,1
Joel Alvarez,Danilo Belluardo,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,182.88,187.96,155,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,155,24,25,0
Rafael Dos Anjos,Kevin Lee,1,0,0,36,724.8571429,1,0,1,3,1,4,1,10,Orthodox,175.26,195.58,170,2,0,0,74,794.7692308,4,0,0,10,4,3,0,17,Southpaw,172.72,177.8,170,26,34,0
Antonio Carlos Junior,Ian Heinisch,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,185,0,4,0,21,634.2222222,1,0,0,2,0,4,0,6,Orthodox,187.96,200.66,185,30,29,1
Megan Anderson,Felicia Spencer,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,145,0,1,0,4,480.5,0,0,0,0,1,0,0,1,Orthodox,182.88,182.88,145,28,29,1
Vicente Luque,Derrick Krantz,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,0,4,0,18,453.4,0,0,0,0,5,3,0,8,Orthodox,180.34,190.5,170,31,27,0
Charles Oliveira,Nik Lentz,0,2,0,59,754.9090909,0,0,2,7,3,2,0,14,Orthodox,172.72,172.72,155,0,4,0,42,400.5652174,0,0,0,1,0,13,0,14,Orthodox,177.8,187.96,155,34,29,0
Davi Ramos,Austin Hubbard,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,155,0,3,0,8,480.5,0,0,0,0,0,3,0,3,Orthodox,167.64,177.8,155,27,32,0
Aspen Ladd,Sijara Eubanks,0,2,0,6,900,0,0,0,2,0,0,0,2,,162.56,170.18,135,0,2,0,3,329.5,0,0,0,0,2,0,0,2,Orthodox,167.64,167.64,135,34,24,0
Desmond Green,Charles Jourdain,0,0,0,0,,0,0,0,0,0,0,0,0,Switch,175.26,175.26,155,0,1,0,16,778.6666667,0,0,1,1,1,0,0,3,Southpaw,177.8,185.42,155,23,29,0
Danny Roberts,Michel Pereira,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,170,1,0,0,17,541.625,0,0,1,1,2,1,0,5,Southpaw,185.42,187.96,170,25,31,1
Michael Trizano,Grant Dawson,0,1,0,3,900,0,0,0,1,0,0,0,1,Switch,177.8,182.88,145,0,2,0,6,900,1,0,2,0,0,0,0,2,Orthodox,180.34,180.34,155,25,27,1
Patrick Cummins,Ed Herman,3,0,0,47,560.4761905,1,0,1,2,3,4,0,10,Orthodox,185.42,195.58,205,2,0,0,26,565.8333333,0,0,1,3,2,0,0,6,Orthodox,187.96,193.04,205,38,38,1
Zak Cummings,Trevin Giles,0,2,0,5,610.5,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,185,0,1,0,22,619.3,0,0,0,3,1,3,0,7,Southpaw,182.88,190.5,185,26,34,0
